msd_artist_id,msd_artist_name,msd_location,msd_latitude,msd_longitude,msd_tags,spotify_artist_id,spotify_artist_name,spotify_artist_url,spotify_total_followers,spotify_genres,spotify_popularity
AR10USD1187B99F3F1,Tweeterfriendly Music,"Burlington, Ontario, Canada",,,"[""post-hardcore"",""screamo"",""emo"",""hardcore"",""punk revival"",""rock"",""acoustic"",""emotional"",""pop"",""metal"",""heavy"",""melodic""]",4FsRy7akIPmjxn0VTMNsLZ,Tweeterfriendly Music,https://open.spotify.com/artist/4FsRy7akIPmjxn0VTMNsLZ,69,[],0
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",01uLFuopGIW0WmZrbMLUfL,Harold y Elena,https://open.spotify.com/artist/01uLFuopGIW0WmZrbMLUfL,49188,"[""latin worship""]",40
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",2Jhg4utIpCsER3JKSUnF7F,Elena Riu,https://open.spotify.com/artist/2Jhg4utIpCsER3JKSUnF7F,87,[],41
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",1PMibp1HV8tdZaib2DXOdH,Elena Urioste,https://open.spotify.com/artist/1PMibp1HV8tdZaib2DXOdH,1307,[],45
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",0Zw91yH74OemLqD4rHn96K,Elena Pitoulis,https://open.spotify.com/artist/0Zw91yH74OemLqD4rHn96K,366,[],51
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",0teBSkQ1Hp3Zw2rmfp1ZRT,Elena Filipova,https://open.spotify.com/artist/0teBSkQ1Hp3Zw2rmfp1ZRT,190,[],45
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",0p6iNlkB41r1JtxZ3F6JMJ,"""Elena Of Avalor"" Cast",https://open.spotify.com/artist/0p6iNlkB41r1JtxZ3F6JMJ,27186,"[""movie tunes"",""otacore""]",43
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",0OnynZ2smlYDjDmdRQVkmk,Elena Kats-Chernin,https://open.spotify.com/artist/0OnynZ2smlYDjDmdRQVkmk,4620,"[""australian classical"",""australian classical piano""]",47
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",0zO8yNnw5GQgutcIyXfGBY,ELENA ROSE,https://open.spotify.com/artist/0zO8yNnw5GQgutcIyXfGBY,18946,"[""r&b en espanol""]",56
AR5KOSW1187FB35FF4,Elena,Dubai UAE,49,15,"[""uk garage"",""pop folk"",""jazz fusion"",""chalga"",""jazz"",""progressive house"",""pop punk"",""trance"",""techno"",""electronic"",""female vocalist"",""dance"",""pop"",""rock"",""contemporary classical music"",""jazz vocal"",""house"",""romani"",""bulgarian"",""folk"",""indie"",""alternative"",""world"",""ambient"",""soul"",""swedish"",""political"",""female"",""eurovision"",""czech republic"",""eurovision song contest"",""oriental"",""power pop"",""serbia"",""romania"",""italian dance"",""world beat"",""bulgaria"",""jazz pop"",""euro-house""]",76rOhzdFrZx37hyeA5cQgZ,Elena Coats,https://open.spotify.com/artist/76rOhzdFrZx37hyeA5cQgZ,8030,[],51
