msd_song_id,msd_song_name,msd_release,msd_artist_name,genre,year,spotify_song_id,spotify_song_name,spotify_url,spotify_popularity,duration_ms,album_id
SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),Wild Rose,Bombay Rockers,,,2tC8h6mkTaBlN0jBfEdqSl,Wild Rose (Back 2 Basics Mix),https://open.spotify.com/track/2tC8h6mkTaBlN0jBfEdqSl,15,230667,179PjMHaB6eYzIgXJoKOPj
SODAUVL12A8C13D184,Prognosis,Major Impacts,Steve Morse,,2000.0,1RV1yEPDq9Y6k9a9ouuF0X,Prognosis,https://open.spotify.com/track/1RV1yEPDq9Y6k9a9ouuF0X,4,363866,7qT4qNEv5HuA0bFQjUSneA
SODAUVL12A8C13D184,Prognosis,Major Impacts,Steve Morse,,2000.0,37E6zukAEyXZTmkLLs5DRv,Prognosis,https://open.spotify.com/track/37E6zukAEyXZTmkLLs5DRv,9,365240,5eiBwBDsBw27eXnS3VOidz
SODLRRT12AB0189535,Disappeared,Chasing Monsters,John Wesley_ John Wesley,,,2EFSCiM9GXv7nt6FUreMLM,"Disappeared - Live at Fillmore, San Francisco - November 25, 2002",https://open.spotify.com/track/2EFSCiM9GXv7nt6FUreMLM,0,409000,5eB8Z1s2wNZFWKrHLFh6um
SODLRRT12AB0189535,Disappeared,Chasing Monsters,John Wesley_ John Wesley,,,05IIELizKn1mxrP6zv4CVv,"Disappeared - Live at Martyr's, Chicago - November 17, 2002",https://open.spotify.com/track/05IIELizKn1mxrP6zv4CVv,0,337000,5eB8Z1s2wNZFWKrHLFh6um
SODLRRT12AB0189535,Disappeared,Chasing Monsters,John Wesley_ John Wesley,,,6I0DRBl7sN6I49AD6Ec06Q,Disappeared,https://open.spotify.com/track/6I0DRBl7sN6I49AD6Ec06Q,0,351506,7GMqDwxc0qyTSHM2df1g7Z
SOGDBUF12A8C140FAA,Intro,Nothing To Remember,40 Grit,,2003.0,391PgJTUqMdTi4y2CGHxbg,Intro,https://open.spotify.com/track/391PgJTUqMdTi4y2CGHxbg,0,75789,5Pg32KBa67MjABea6wovjR
SOGDBUF12A8C140FAA,Intro,Nothing To Remember,40 Grit,,2003.0,17Lx7J5aPxrRezMCkaeCHt,Intro,https://open.spotify.com/track/17Lx7J5aPxrRezMCkaeCHt,0,172303,4JepylgxwEXudcDzXuCNPy
SOGDBUF12A8C140FAA,Intro,Nothing To Remember,40 Grit,,2003.0,0pnJy3KN4CGC8aqfMreJXg,"Pimps, Hustlas (feat. James ""Stomp Down"" Bailey) - Intro",https://open.spotify.com/track/0pnJy3KN4CGC8aqfMreJXg,7,66493,45Zw8CYH1tzB5Z56rUiui1
SOGDBUF12A8C140FAA,Intro,Nothing To Remember,40 Grit,,2003.0,5OyiUwH6ZMzG1WXqe9Djk3,Mustard & Mayonnaise - Intro,https://open.spotify.com/track/5OyiUwH6ZMzG1WXqe9Djk3,8,58666,45Zw8CYH1tzB5Z56rUiui1
